factor;VIF
note_bert_fluidité;4.43597140323928
note_bert_fertilité du language;4.37856319902983
note_bert_ expert;2.3182022378963962
note_bert_imaginaire;1.4855302655681755
note_bert_émotions;1.4370331470412876
note_bert_Vulnerable;1.2761977338309327
