learning_rate;batch_size;max_length;num_epochs;r2;mae;rmse;mse
5e-05;16;128;7;0.8808743953704834;0.49067071080207825;0.7284683744023656;0.530666172504425
5e-05;16;256;7;0.8786616325378418;0.45315176248550415;0.7352030529402979;0.5405235290527344
5e-05;32;128;7;0.8441225290298462;0.5570111274719238;0.8332970174187858;0.6943839192390442
5e-05;16;128;5;0.8437620401382446;0.5956827998161316;0.8342600239605052;0.6959897875785828
2e-05;16;256;7;0.8254209160804749;0.5529517531394958;0.8818694622641841;0.7776937484741211
5e-05;16;256;5;0.8237603902816772;0.580839216709137;0.886053566839684;0.7850909233093262
2e-05;16;128;7;0.8198561668395996;0.6177223324775696;0.8958140008895588;0.8024827241897583
5e-05;32;256;7;0.813389778137207;0.5274818539619446;0.9117501836096137;0.8312883973121643
2e-05;32;256;7;0.7489383220672607;0.674634575843811;1.057543863870291;1.1183990240097046
1e-05;16;256;7;0.7345396280288696;0.7638247013092041;1.087446906448953;1.182540774345398
5e-05;32;256;5;0.7300324440002441;0.7089913487434387;1.096639685100803;1.2026185989379883
5e-05;32;128;5;0.7249301075935364;0.7213477492332458;1.1069543783544364;1.2253479957580566
5e-05;16;256;3;0.6849285364151001;0.7164381742477417;1.1847118975502624;1.4035422801971436
2e-05;32;128;7;0.6783402562141418;0.7813024520874023;1.197034156914296;1.432890772819519
2e-05;16;256;5;0.6145907044410706;0.9057678580284119;1.3102955698038126;1.7168744802474976
2e-05;16;128;5;0.6010521054267883;0.912126362323761;1.3331108752082288;1.7771846055984497
5e-05;16;128;3;0.588715136051178;0.9652501344680786;1.3535663105335525;1.8321417570114136
2e-05;16;256;3;0.5112683773040771;1.0983659029006958;1.475514196220935;2.1771421432495117
1e-05;32;256;7;0.4966449737548828;1.099061369895935;1.4974260498536391;2.2422847747802734
1e-05;16;128;7;0.4505593776702881;1.1067442893981934;1.564474765280262;2.4475812911987305
1e-05;32;128;7;0.4182000756263733;1.1213496923446655;1.609885569942574;2.591731548309326
1e-05;16;128;5;0.37227851152420044;1.1531479358673096;1.6722132973346542;2.796297311782837
2e-05;32;128;5;0.3414819836616516;1.1642932891845703;1.7127423108047588;2.933486223220825
5e-05;32;128;3;0.34069323539733887;1.240785837173462;1.7137676503547574;2.936999559402466
2e-05;32;256;5;0.3308905363082886;1.1842774152755737;1.7264609328555314;2.9806673526763916
2e-05;16;128;3;0.31916099786758423;1.2578595876693726;1.7415277574743708;3.032918930053711
5e-05;32;256;3;0.2964661121368408;1.273432731628418;1.7703155733033025;3.1340172290802
1e-05;16;256;3;0.2875712513923645;1.3342467546463013;1.7814715732829995;3.1736409664154053
2e-05;32;256;3;0.2828696370124817;1.38006591796875;1.7873402264021143;3.194585084915161
1e-05;16;256;5;0.27297621965408325;1.2759126424789429;1.7996269051335791;3.238656997680664
1e-05;16;128;3;0.2523750066757202;1.3268550634384155;1.824946321717008;3.3304290771484375
1e-05;32;128;5;0.21946436166763306;1.3477323055267334;1.8646810140188477;3.4770352840423584
2e-05;32;128;3;0.2152799367904663;1.380372166633606;1.8696725819812023;3.495675563812256
1e-05;32;256;5;0.19853347539901733;1.3846510648727417;1.8895172783333418;3.5702755451202393
1e-05;32;128;3;0.18100827932357788;1.4239940643310547;1.9100641333712616;3.6483449935913086
1e-05;32;256;3;0.1748008131980896;1.4982396364212036;1.9172889763450076;3.675997018814087
