learning_rate;batch_size;max_length;num_epochs;r2;mae;rmse;mse
5e-05;16;256;7;0.8246468305587769;0.5951967835426331;0.9439381468722113;0.8910192251205444
5e-05;32;128;7;0.8226545453071594;0.608264684677124;0.949285340033823;0.9011426568031311
5e-05;16;128;7;0.800513505935669;0.606888473033905;1.0068006537070442;1.0136475563049316
2e-05;16;256;7;0.781571626663208;0.66623854637146;1.0535162745025748;1.1098965406417847
5e-05;16;256;5;0.775444746017456;0.69093918800354;1.0681895900458342;1.1410290002822876
5e-05;32;256;7;0.7591924071311951;0.7173047661781311;1.106169892767399;1.223611831665039
2e-05;16;128;7;0.7310729026794434;0.761023998260498;1.1689718270541378;1.366495132446289
5e-05;16;128;5;0.7077183723449707;0.729796826839447;1.2186738993042638;1.485166072845459
5e-05;32;256;5;0.68092280626297;0.8191942572593689;1.273311398119172;1.6213219165802002
2e-05;32;128;7;0.6199495792388916;0.873228132724762;1.389656115126696;1.931144118309021
2e-05;32;256;7;0.6169898509979248;0.9102990031242371;1.395056788474741;1.946183443069458
5e-05;32;128;5;0.6144847869873047;0.908452033996582;1.3996115077367401;1.9589123725891113
2e-05;16;128;5;0.602729320526123;0.9709610939025879;1.4207903738975918;2.0186452865600586
5e-05;16;256;3;0.5998553037643433;0.960370659828186;1.4259204535266918;2.0332491397857666
1e-05;16;256;7;0.590955376625061;0.9468203186988831;1.4416906391568869;2.0784718990325928
1e-05;16;128;7;0.47403138875961304;1.093616247177124;1.6348076271485898;2.672595977783203
2e-05;16;256;3;0.4635472297668457;1.1352598667144775;1.6510206475910507;2.7258691787719727
2e-05;16;256;5;0.44806182384490967;1.1410799026489258;1.6746804772407902;2.8045547008514404
5e-05;16;128;3;0.42549026012420654;1.2211840152740479;1.708580518687873;2.9192473888397217
5e-05;32;128;3;0.36896830797195435;1.2285305261611938;1.790656766226907;3.206451654434204
5e-05;32;256;3;0.3475719690322876;1.2455787658691406;1.8207614983443465;3.3151724338531494
2e-05;32;256;5;0.342374324798584;1.2868293523788452;1.827999795391981;3.341583251953125
1e-05;16;256;5;0.3144702911376953;1.3778564929962158;1.8663791838160815;3.4833712577819824
2e-05;32;128;5;0.3122115731239319;1.2555478811264038;1.8694514511428029;3.4948487281799316
1e-05;32;256;7;0.31081366539001465;1.348220944404602;1.8713502329838008;3.5019516944885254
1e-05;16;128;5;0.28714698553085327;1.379226565361023;1.9032101391318978;3.622208833694458
2e-05;16;128;3;0.2731395363807678;1.4109646081924438;1.9218181198510862;3.693384885787964
1e-05;32;128;7;0.24217313528060913;1.460877537727356;1.9623286567287965;3.850733757019043
1e-05;16;256;3;0.18907129764556885;1.564302921295166;2.02991606120688;4.120559215545654
2e-05;32;128;3;0.163840651512146;1.553134560585022;2.0612529105494986;4.248763561248779
2e-05;32;256;3;0.1568889617919922;1.6174671649932861;2.0698036576185936;4.284087181091309
1e-05;32;128;5;0.10532015562057495;1.7273098230361938;2.132163930799298;4.546123027801514
1e-05;16;128;3;0.10298734903335571;1.696479082107544;2.1349418546455277;4.557976722717285
1e-05;32;256;3;0.07855594158172607;1.7945376634597778;2.163820549284722;4.682119369506836
1e-05;32;256;5;0.0734509825706482;1.7856594324111938;2.1698062841906154;4.708059310913086
1e-05;32;128;3;0.06132376194000244;1.803379774093628;2.183959930233995;4.769680976867676
