learning_rate;batch_size;max_length;num_epochs;r2;mae;rmse;mse
5e-05;16;128;7;0.8288561105728149;0.4686991274356842;0.7763148260153135;0.6026647090911865
5e-05;16;256;7;0.7807188034057617;0.5783718228340149;0.8787348601337992;0.7721749544143677
5e-05;16;128;5;0.7593731880187988;0.6008193492889404;0.9205113362925372;0.8473411202430725
5e-05;32;128;7;0.7472590208053589;0.6189152002334595;0.9433980424431649;0.8899998664855957
2e-05;16;128;7;0.7347228527069092;0.6697601675987244;0.9665115397771356;0.9341445565223694
5e-05;16;256;5;0.6750069260597229;0.6575177907943726;1.0697793119782557;1.14442777633667
2e-05;16;256;7;0.6225290298461914;0.7435115575790405;1.1529193022743451;1.3292229175567627
5e-05;32;256;7;0.613393247127533;0.7113315463066101;1.1667877145822043;1.3613935708999634
2e-05;32;128;7;0.5929184556007385;0.8653548359870911;1.1972858371242008;1.4334933757781982
5e-05;16;256;3;0.5915082097053528;0.8289980292320251;1.199357910034492;1.4384593963623047
2e-05;32;256;7;0.541391134262085;0.879731297492981;1.2708033834378136;1.6149412393569946
1e-05;16;256;7;0.49975913763046265;0.9853626489639282;1.32723156666561;1.76154363155365
5e-05;16;128;3;0.49149972200393677;0.8941057324409485;1.338143651940082;1.790628433227539
2e-05;16;128;5;0.4860929250717163;0.946623682975769;1.3452389031282002;1.809667706489563
5e-05;32;128;5;0.39372652769088745;0.9950031638145447;1.4611386247388491;2.1349260807037354
1e-05;32;256;7;0.3590545058250427;1.1311055421829224;1.502338097175362;2.2570197582244873
5e-05;32;256;5;0.334780752658844;1.1093707084655762;1.5305218424990938;2.3424971103668213
1e-05;32;128;7;0.3052433729171753;1.1729950904846191;1.5641322955889148;2.446509838104248
2e-05;16;256;3;0.26227033138275146;1.1666347980499268;1.6117800177182204;2.597834825515747
1e-05;16;128;5;0.2362322211265564;1.1447592973709106;1.639977172832259;2.6895251274108887
5e-05;32;128;3;0.2247987985610962;1.1930729150772095;1.6522065955700547;2.7297866344451904
1e-05;16;128;7;0.21429985761642456;1.1976447105407715;1.6633573658926428;2.7667577266693115
5e-05;32;256;3;0.20868730545043945;1.2099740505218506;1.6692877028193598;2.7865214347839355
2e-05;16;256;5;0.1777174472808838;1.213346004486084;1.7016399103216326;2.895578384399414
2e-05;32;128;3;0.1630016565322876;1.3382258415222168;1.716798958109871;2.9473986625671387
1e-05;16;256;3;0.1564640998840332;1.339881181716919;1.7234906102813636;2.9704198837280273
2e-05;16;128;3;0.13448214530944824;1.246880292892456;1.7458026822600408;3.0478270053863525
1e-05;16;128;3;0.12725776433944702;1.3515431880950928;1.753073513750535;3.0732667446136475
2e-05;32;128;5;0.12634211778640747;1.321286916732788;1.753992974870765;3.076491355895996
2e-05;32;256;3;0.1190345287322998;1.4069514274597168;1.7613131104770747;3.1022238731384277
1e-05;32;128;3;0.11865127086639404;1.3750792741775513;1.7616962845886066;3.103573799133301
1e-05;32;256;3;0.10358065366744995;1.420020341873169;1.7766944453779716;3.1566431522369385
1e-05;32;128;5;0.06500881910324097;1.3638123273849487;1.8145163928479513;3.2924697399139404
1e-05;16;256;5;0.05855095386505127;1.3421850204467773;1.8207719083968827;3.3152103424072266
1e-05;32;256;5;0.051989853382110596;1.3814750909805298;1.8271055721146006;3.3383147716522217
2e-05;32;256;5;0.020599961280822754;1.379823923110962;1.857108136785219;3.448850631713867
