Aérographe
Affiloire
Agrafeuse
Alêne
Alésoir
Alésoir à cliquet
Appareil à battre les collets
Appareil à vitrer
Arrache-clou
Arrache-manivelle
Arrache-moyeu
Arrache-rotule
Auge
Arrache-tête
Bac à pinceau
Balai chinois
Scie de long
Banc à étirer
Baratte
Barre à mine
Barre Halligan
Batée
Batte
Batte à feu
Batte à semis
Batte de carreleur
Bêche
Bédane
Bétonnière
Biberon de poudre à tracer
Enclume
Binage
Boîte à onglets
Boîte à outils
Bol à plâtre
Boulon
Boulonneuse
Bourroir
Pointerolle
Bridou
Briquet
Broche de carreleur
Brosse
Brosse à encoller
Brosse à badigeon
Brosse à laquer
Brosse à rechampir
Brosse à vernir
Brosse à tapisser
Brosse coudée pour radiateurs
Brosse métallique
Brouette
Burin
Bussetto
Cage d'écureuil
Calibre à limites
Cale à poncer
Cale d'épaisseur
Cale étalon
Canne de verrier
Cardeuse
Carrelette
Chaîne d'arpenteur
Chalumeau
Chalumeau oxyacétylénique
Chanfreineuse de tubes
Chasse
Chasse-pointes
Chasse-goupille
Chemin de fer
Chevillette
Chignole
Chinois
Chèvre
Cisaille
Coupe-bordure
Cisaille à haie
Cisaille à tôle
Cisaille guillotine
Ciseau
Ciseau à bois
Ciseau à brique
Ciseau de maçon
Ciseau à rainer
Ciseau anglais
Ciseaux d'électricien
Ciseau de couturière
Ciseau de dentellière
Ciseau de tailleur de pierre
Clé
Clé anglaise
Clé à chaîne
Clé à cliquet
Clé à cône
Clé à ergots
Clé à molette
Clé à œil
Clé à pédales
Clé à pipe débouchée
Clé à rayons
Clé à téton de rayon
Clé à tube
Clé d'accordeur
Clé de lavabo
Clef dynamométrique
Clé Guillemin
Clé plate
Clé plate spéciale pour la pose des fixations lavabo
Clé serre tube
Clé six pans
Clé Torx
Clé tricoise
Cliquet
Cognée
Comparateur
Compas
Compas à ressort
Compas à verge
Compas à charnière
Compas d'épaisseur
Compas de Mordente
Compas de transfert
Compte-fils
Corde à treize nœuds
Cordeau
Cordeau à tracer
Coupe-verre
Coupe-tube
Couteau
Couteau à colle
Couteau à démastiquer
Couteau à enduire
Couteau à mastiquer
Couteau à lame rétractable
Couteau à peindre
Couteau de vitrier
Couteau suisse
Craie
Crayon
Crayon de charpentier
Crayon de menuisier
Crayon de maçon
Cric
Croc à fumier
Croissant d'élagage
Cube de mesure
Cuillère
Cuillère à mesure
Daba
Débroussailleuse
Décapeur thermique
Décolleuse
Défonceuse
