factor;pearson;pearson_p;spearman;spearman_p;slope;intercept;slope_p;rvalue
note_bert_fertilité du language;0.44964422728308967;2.9828620775059857e-283;0.4136541719981981;1.0523650697649843e-235;0.37024312664265774;0.12627038549436453;2.9828620775037915e-283;0.4496442272830898
note_bert_fluidité;0.49488110595761026;0.0;0.4741925700776858;0.0;0.36631215665673567;0.11551108267066024;0.0;0.4948811059576103
note_bert_émotions;0.5601778788148026;0.0;0.6123710733464833;0.0;0.413844393276394;-0.036645328851877546;0.0;0.5601778788148027
note_bert_imaginaire;0.4596521564844807;1.580052382791682e-297;0.455698850201506;7.8530797387479955e-292;0.3020557800205563;0.30761495605379907;1.580052382791937e-297;0.4596521564844807
note_bert_ expert;0.24010031373330604;6.316787727572031e-76;0.22324678771424775;1.2440986600190956e-65;0.33211505751504455;1.9459158564530286;6.316787727570635e-76;0.2401003137333061
note_bert_Vulnerable;0.29545305928459725;9.146561071823749e-116;0.33140078337317963;6.648347493074005e-147;0.25488166118587746;0.9868827576486987;9.14656107182309e-116;0.29545305928459725
note_bert_difficulté verbalisation;0.07680711076484721;5.854085626028081e-09;0.16792382132105638;1.6739554629677457e-37;0.050607164216413855;1.2842904131964052;5.85408562602787e-09;0.07680711076484723
