factor;VIF
note_bert_fertilité du language;4.900631846944329
note_bert_fluidité;4.706694409927277
note_bert_ expert;1.8310839122255123
note_bert_imaginaire;1.5185714155023695
note_bert_Vulnerable;1.509525114415843
note_bert_difficulté verbalisation;1.3678556495070051
note_bert_émotions;1.316754307090953
